program_id,university_id,university_name,school_name,department_name,program_name,degree_level,degree_name,program_url,source_url,evidence,confidence,status,agent_version
UNI-HARVARD-UNIVERSITY-PROG-0001,UNI-HARVARD-UNIVERSITY,Harvard University,,,Learn about Ben’s studies,Unspecified,Learn about Ben’s studies,https://www.harvard.edu/in-focus/commencement-2025/graduate-profiles,https://www.harvard.edu/in-focus/commencement-2025/graduate-profiles,Learn about Ben’s studies,0.4,review,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0002,UNI-HARVARD-UNIVERSITY,Harvard University,,,Assel chose to leave Kazakhstan for the U.S. to further her studies into enhancing care for people with diabetic retinopathy.,Unspecified,Assel chose to leave Kazakhstan for the U.S. to further her studies into enhancing care for people with diabetic retinopathy.,https://www.harvard.edu/in-focus/commencement-2026/graduate-profiles,https://www.harvard.edu/in-focus/commencement-2026/graduate-profiles,Assel chose to leave Kazakhstan for the U.S. to further her studies into enhancing care for people with diabetic retinopathy.,0.4,review,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0003,UNI-HARVARD-UNIVERSITY,Harvard University,,,"Bachelor of Arts in Women, Gender, and Sexuality",Bachelors,"Bachelor of Arts in Women, Gender, and Sexuality",https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,"Bachelor of Arts in Women, Gender, and Sexuality",0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0004,UNI-HARVARD-UNIVERSITY,Harvard University,,,Bachelor of Arts in Social Anthropology and Comparative Study of Religion,Bachelors,Bachelor of Arts in Social Anthropology and Comparative Study of Religion,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,Bachelor of Arts in Social Anthropology and Comparative Study of Religion,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0005,UNI-HARVARD-UNIVERSITY,Harvard University,,,"With his MBA, Philippe hopes to help foster a long-term, sustainable combination of technology and talent for creating the buildings of tomorrow.",MBA,"With his MBA, Philippe hopes to help foster a long-term, sustainable combination of technology and talent for creating the buildings of tomorrow.",https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,"With his MBA, Philippe hopes to help foster a long-term, sustainable combination of technology and talent for creating the buildings of tomorrow.",0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0006,UNI-HARVARD-UNIVERSITY,Harvard University,,,"With her MBA, Nashae hopes to leverage her new found access and resources to improve the lives of others.",MBA,"With her MBA, Nashae hopes to leverage her new found access and resources to improve the lives of others.",https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,"With her MBA, Nashae hopes to leverage her new found access and resources to improve the lives of others.",0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0007,UNI-HARVARD-UNIVERSITY,Harvard University,,,Bachelor of Arts in Applied Mathematics,Bachelors,Bachelor of Arts in Applied Mathematics,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,Bachelor of Arts in Applied Mathematics,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0008,UNI-HARVARD-UNIVERSITY,Harvard University,,,Bachelor of Arts in Computer Science,Bachelors,Bachelor of Arts in Computer Science,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,Bachelor of Arts in Computer Science,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0009,UNI-HARVARD-UNIVERSITY,Harvard University,,,Bachelor of Science in Environmental Science and Engineering,Bachelors,Bachelor of Science in Environmental Science and Engineering,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,https://www.harvard.edu/in-focus/celebrating-the-class-of-2023/graduate-profiles,Bachelor of Science in Environmental Science and Engineering,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0010,UNI-HARVARD-UNIVERSITY,Harvard University,,,Undergraduate Program,Bachelors,Undergraduate Program,https://www.harvard.edu/programs/music,https://www.harvard.edu/programs/music,Undergraduate Program,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0011,UNI-HARVARD-UNIVERSITY,Harvard University,,,Bachelor of Arts (A.B.) Harvard College,Bachelors,Bachelor of Arts (A.B.) Harvard College,https://www.harvard.edu/programs/music,https://www.harvard.edu/programs/music,Bachelor of Arts (A.B.) Harvard College,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0012,UNI-HARVARD-UNIVERSITY,Harvard University,,,Bachelor of Arts (A.B.),Bachelors,Bachelor of Arts (A.B.),https://www.harvard.edu/programs/music,https://www.harvard.edu/programs/music,Bachelor of Arts (A.B.),0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0013,UNI-HARVARD-UNIVERSITY,Harvard University,,,Doctor of Philosophy (Ph.D.) Harvard Kenneth C. Griffin Graduate School of Arts and Sciences,PhD,Doctor of Philosophy (Ph.D.) Harvard Kenneth C. Griffin Graduate School of Arts and Sciences,https://www.harvard.edu/programs/music,https://www.harvard.edu/programs/music,Doctor of Philosophy (Ph.D.) Harvard Kenneth C. Griffin Graduate School of Arts and Sciences,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0014,UNI-HARVARD-UNIVERSITY,Harvard University,,,Doctor of Philosophy (Ph.D.),PhD,Doctor of Philosophy (Ph.D.),https://www.harvard.edu/programs/music,https://www.harvard.edu/programs/music,Doctor of Philosophy (Ph.D.),0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0015,UNI-HARVARD-UNIVERSITY,Harvard University,,,Graduate Program,Unspecified,Graduate Program,https://www.harvard.edu/programs/design,https://www.harvard.edu/programs/design,Graduate Program,0.4,review,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0016,UNI-HARVARD-UNIVERSITY,Harvard University,,,Undergraduate,Bachelors,Undergraduate,https://www.harvard.edu/programs/biology,https://www.harvard.edu/programs/biology,Undergraduate,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0017,UNI-HARVARD-UNIVERSITY,Harvard University,,,Bachelor of Liberal Arts (A.L.B.) Division of Continuing Education,Bachelors,Bachelor of Liberal Arts (A.L.B.) Division of Continuing Education,https://www.harvard.edu/programs/biology,https://www.harvard.edu/programs/biology,Bachelor of Liberal Arts (A.L.B.) Division of Continuing Education,0.6,verified,3.0.0
UNI-HARVARD-UNIVERSITY-PROG-0018,UNI-HARVARD-UNIVERSITY,Harvard University,,,Bachelor of Liberal Arts (A.L.B.),Bachelors,Bachelor of Liberal Arts (A.L.B.),https://www.harvard.edu/programs/biology,https://www.harvard.edu/programs/biology,Bachelor of Liberal Arts (A.L.B.),0.6,verified,3.0.0
