university_id,university_name,country,location,qs_rank_2027,official_domain,ranking_source,source_file
UNI-MASSACHUSETTS-INSTITUTE-OF-TECHNOLOGY-MIT,Massachusetts Institute of Technology (MIT),United States,United States of America,1,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-STANFORD-UNIVERSITY,Stanford University,United States,United States of America,2,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-HARVARD-UNIVERSITY,Harvard University,United States,United States of America,5,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-CALIFORNIA-INSTITUTE-OF-TECHNOLOGY-CALTECH,California Institute of Technology (Caltech),United States,United States of America,7,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-UNIVERSITY-OF-PENNSYLVANIA,University of Pennsylvania,United States,United States of America,15,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-CORNELL-UNIVERSITY,Cornell University,United States,United States of America,16,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-YALE-UNIVERSITY,Yale University,United States,United States of America,16,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-JOHNS-HOPKINS-UNIVERSITY,Johns Hopkins University,United States,United States of America,20,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-UNIVERSITY-OF-CALIFORNIA-BERKELEY-UCB,"University of California, Berkeley (UCB)",United States,United States of America,20,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-UNIVERSITY-OF-CHICAGO,University of Chicago,United States,United States of America,24,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-PRINCETON-UNIVERSITY,Princeton University,United States,United States of America,27,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-COLUMBIA-UNIVERSITY,Columbia University,United States,United States of America,43,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-NORTHWESTERN-UNIVERSITY,Northwestern University,United States,United States of America,45,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-UNIVERSITY-OF-CALIFORNIA-LOS-ANGELES-UCLA,"University of California, Los Angeles (UCLA)",United States,United States of America,49,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-UNIVERSITY-OF-MICHIGAN-ANN-ARBOR,University of Michigan-Ann Arbor,United States,United States of America,51,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-CARNEGIE-MELLON-UNIVERSITY,Carnegie Mellon University,United States,United States of America,55,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-NEW-YORK-UNIVERSITY-NYU,New York University (NYU),United States,United States of America,58,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-BROWN-UNIVERSITY,Brown University,United States,United States of America,66,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-DUKE-UNIVERSITY,Duke University,United States,United States of America,70,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-UNIVERSITY-OF-TEXAS-AT-AUSTIN,University of Texas at Austin,United States,United States of America,72,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN,University of Illinois Urbana-Champaign,United States,United States of America,74,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-UNIVERSITY-OF-CALIFORNIA-SAN-DIEGO-UCSD,"University of California, San Diego (UCSD)",United States,United States of America,81,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
UNI-PENNSYLVANIA-STATE-UNIVERSITY,Pennsylvania State University,United States,United States of America,92,,QS World University Rankings 2027,2027_QS_World_University_Rankings_1_3__For_qs_com_.xlsx
