university_id,university_name,qs_rank_2027,official_domain,university_website,confidence,discovery_method,wikidata_id,wikidata_label,website_status,website_error,discovery_status
UNI-MASSACHUSETTS-INSTITUTE-OF-TECHNOLOGY-MIT,Massachusetts Institute of Technology (MIT),1,mit.edu,https://mit.edu,1.0,existing_verified_output,Q49108,Massachusetts Institute of Technology,not_checked,,success
UNI-STANFORD-UNIVERSITY,Stanford University,2,stanford.edu,https://stanford.edu,1.0,existing_verified_output,Q41506,Stanford University,not_checked,,success
UNI-HARVARD-UNIVERSITY,Harvard University,5,harvard.edu,https://harvard.edu,1.0,existing_verified_output,Q13371,Harvard University,not_checked,,success
UNI-CALIFORNIA-INSTITUTE-OF-TECHNOLOGY-CALTECH,California Institute of Technology (Caltech),7,caltech.edu,https://caltech.edu,1.0,existing_verified_output,Q161562,California Institute of Technology,not_checked,,success
UNI-UNIVERSITY-OF-PENNSYLVANIA,University of Pennsylvania,15,upenn.edu,https://upenn.edu,1.0,existing_verified_output,Q49117,University of Pennsylvania,not_checked,,success
UNI-CORNELL-UNIVERSITY,Cornell University,16,www.cornell.edu,https://www.cornell.edu,1.0,existing_verified_output,Q49115,Cornell University,not_checked,,success
UNI-YALE-UNIVERSITY,Yale University,16,yale.edu,https://yale.edu,1.0,existing_verified_output,Q49112,Yale University,not_checked,,success
UNI-JOHNS-HOPKINS-UNIVERSITY,Johns Hopkins University,20,jhu.edu,https://jhu.edu,1.0,existing_verified_output,Q193727,Johns Hopkins University,not_checked,,success
UNI-UNIVERSITY-OF-CALIFORNIA-BERKELEY-UCB,"University of California, Berkeley (UCB)",20,www.berkeley.edu,https://www.berkeley.edu,1.0,existing_verified_output,Q168756,"University of California, Berkeley",not_checked,,success
UNI-UNIVERSITY-OF-CHICAGO,University of Chicago,24,www.uchicago.edu,https://www.uchicago.edu,1.0,existing_verified_output,Q131252,University of Chicago,not_checked,,success
UNI-PRINCETON-UNIVERSITY,Princeton University,27,www.princeton.edu,https://www.princeton.edu,1.0,existing_verified_output,Q21578,Princeton University,not_checked,,success
UNI-COLUMBIA-UNIVERSITY,Columbia University,43,columbia.edu,https://columbia.edu,1.0,existing_verified_output,Q49088,Columbia University,not_checked,,success
UNI-NORTHWESTERN-UNIVERSITY,Northwestern University,45,www.northwestern.edu,https://www.northwestern.edu,1.0,existing_verified_output,Q309350,Northwestern University,not_checked,,success
UNI-UNIVERSITY-OF-CALIFORNIA-LOS-ANGELES-UCLA,"University of California, Los Angeles (UCLA)",49,www.ucla.edu,https://www.ucla.edu,1.0,existing_verified_output,Q174710,"University of California, Los Angeles",not_checked,,success
UNI-UNIVERSITY-OF-MICHIGAN-ANN-ARBOR,University of Michigan-Ann Arbor,51,umich.edu,https://umich.edu,1.0,existing_verified_output,Q230492,University of Michigan,not_checked,,success
UNI-CARNEGIE-MELLON-UNIVERSITY,Carnegie Mellon University,55,www.cmu.edu,https://www.cmu.edu,1.0,existing_verified_output,Q190080,Carnegie Mellon University,not_checked,,success
UNI-NEW-YORK-UNIVERSITY-NYU,New York University (NYU),58,www.nyu.edu,https://www.nyu.edu,1.0,existing_verified_output,Q49210,New York University,not_checked,,success
UNI-BROWN-UNIVERSITY,Brown University,66,www.brown.edu,https://www.brown.edu,1.0,existing_verified_output,Q49114,Brown University,not_checked,,success
UNI-DUKE-UNIVERSITY,Duke University,70,www.duke.edu,https://www.duke.edu,1.0,existing_verified_output,Q168751,Duke University,not_checked,,success
UNI-UNIVERSITY-OF-TEXAS-AT-AUSTIN,University of Texas at Austin,72,www.utexas.edu,https://www.utexas.edu,1.0,existing_verified_output,Q49213,University of Texas at Austin,not_checked,,success
UNI-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN,University of Illinois Urbana-Champaign,74,illinois.edu,https://illinois.edu,1.0,existing_verified_output,,University of Illinois Urbana-Champaign,not_checked,,success
UNI-UNIVERSITY-OF-CALIFORNIA-SAN-DIEGO-UCSD,"University of California, San Diego (UCSD)",81,ucsd.edu,https://ucsd.edu,1.0,existing_verified_output,,"University of California, San Diego",not_checked,,success
UNI-PENNSYLVANIA-STATE-UNIVERSITY,Pennsylvania State University,92,psu.edu,https://www.psu.edu,1.0,existing_verified_output,,The Pennsylvania State University,not_checked,,success
UNI-UNIVERSITY-OF-WASHINGTON,University of Washington,92,washington.edu,https://www.washington.edu,1.0,existing_verified_output,,University of Washington,not_checked,,success
UNI-BOSTON-UNIVERSITY,Boston University,94,bu.edu,https://www.bu.edu,1.0,existing_verified_output,,Boston University,not_checked,,success
UNI-PURDUE-UNIVERSITY,Purdue University,100,purdue.edu,https://purdue.edu,1.0,existing_verified_output,Q217741,Purdue University,not_checked,,success
UNI-RICE-UNIVERSITY,Rice University,122,rice.edu,https://rice.edu,1.0,existing_verified_output,Q842909,Rice University,not_checked,,success
UNI-UNIVERSITY-OF-WISCONSIN-MADISON,University of Wisconsin-Madison,131,wisc.edu,https://wisc.edu,1.0,existing_verified_output,Q838330,University of Wisconsin–Madison,not_checked,,success
UNI-UNIVERSITY-OF-CALIFORNIA-DAVIS,"University of California, Davis",137,ucdavis.edu,https://ucdavis.edu,1.0,existing_verified_output,Q129421,"University of California, Davis",not_checked,,success
UNI-GEORGIA-INSTITUTE-OF-TECHNOLOGY,Georgia Institute of Technology,142,gatech.edu,https://www.gatech.edu,1.0,existing_verified_output,,Georgia Institute of Technology,not_checked,,success
UNI-UNIVERSITY-OF-SOUTHERN-CALIFORNIA,University of Southern California,153,usc.edu,https://www.usc.edu,1.0,existing_verified_output,,University of Southern California,not_checked,,success
UNI-UNIVERSITY-OF-NORTH-CAROLINA-AT-CHAPEL-HILL,University of North Carolina at Chapel Hill,158,unc.edu,https://unc.edu,1.0,existing_verified_output,,University of North Carolina at Chapel Hill,not_checked,,success
UNI-WASHINGTON-UNIVERSITY-IN-ST-LOUIS,Washington University in St. Louis,162,wustl.edu,https://wustl.edu,1.0,existing_verified_output,,Washington University in St. Louis,not_checked,,success
UNI-TEXAS-A-M-UNIVERSITY,Texas A&M University,169,tamu.edu,https://www.tamu.edu,1.0,existing_verified_output,,Texas A&M University,not_checked,,success
UNI-ARIZONA-STATE-UNIVERSITY,Arizona State University,172,asu.edu,https://www.asu.edu,1.0,existing_verified_output,,Arizona State University,not_checked,,success
UNI-UNIVERSITY-OF-CALIFORNIA-SANTA-BARBARA-UCSB,"University of California, Santa Barbara (UCSB)",173,ucsb.edu,https://www.ucsb.edu,1.0,existing_verified_output,,"University of California, Santa Barbara",not_checked,,success
UNI-MICHIGAN-STATE-UNIVERSITY,Michigan State University,182,msu.edu,https://msu.edu,1.0,existing_verified_output,,Michigan State University,not_checked,,success
